contact,material_recovery_facility,rail_access,year,icon,notes,website,email,fax,phone,cartodb_id,operating_hours,pickup,number_of_employees,materials_accepted,materials_category,recycler_type,permit_number,company_name,county,address,longitude,latitude
Christiana Culberson,,FALSE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,912-681-2428,149,"8:30-4:30 M-F, 8-noon Sa",Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Statesboro, LLC",Bulloch,,-81.8003979,32.4156837
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,404-669-5000,150,8-4 M-F,Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Tucker, LLC",DeKalb,,-84.235485,33.842183
,,,2015,Processor,,,,,678-997-5967,152,,,,Scrap tires,Scrap Tires,,,"Northeast Georgia Tire Recycling, Inc.",Hart,,-82.96516,34.337868
Paul Bacon,,FALSE,2015,Processor,Provides pick up only for industrial customers. Call for details. Shredder available.,www.ocomet.com,ecloud@ocomet.com,770-385-0072,770-385-0087,153,"8-4:30 M-F, 8-12:30 Sa",Yes,22,"Non-ferrous metals: light copper, insulated copper, wire copper, brass turnings, red and yellow brass, auto radiators, electric motors; aluminum scrap: sheet aluminum, aluminum cans, rims, aluminum siding plate, aluminum structural, aluminum cast, aluminum transmissions; scrap steel: cast iron, heavy machinery, heavy steel, light sheet, old appliances, plate and structural steel, slitter coils, steel turnings, motor blocks, stainless scrap all grades",Metal,"Collector, Processor",,Oconee Metal Recovery,Newton,,-83.8800749,33.5804354
Will Evans ,,TRUE,2015,Processor,"Collection site. Autos must have tires, gas tanks, and batteries removed. Call for details.",www.omnisource.com,,706-613-6114,706-613-5201,154,8-4:30 M-F,Yes,,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Omni Source ,Clarke,,-83.342497,33.982216
,,,2015,Processor,"Collection site. Autos must have tires, gas tanks, and batteries removed. Call for details.",www.omnisource.com,,229-423-7980,229-423-4816,155,"8-5 M-F, 8-12 Sa",Yes,,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Omni Source ,Ben Hill,,-83.247378,31.702671
Bob Barrett,,TRUE,2015,Processor,"Pallet manufacturer, mulch (mostly new pallets, but do make some recycled pallets).",www.timbermen.net,jstephens@camak.net,706-465-3025,706-465-3506,229,8-5 M-F,Yes,170,Wood pallets,Wood,"Collector, Processor",,"The Timbermen, Inc.",Warren,,-82.6466871,33.4523419
,,,2015,Processor,"Collection site. Autos must have tires, gas tanks, and batteries removed. Call for details.",www.omnisource.com,,478-237-4107,478-237-0199,156,8-5 M-F,Yes,,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Omni Source ,Emanuel,,-82.324264,32.575987
,,FALSE,2015,Processor,,www.palletlogisticsinc.net,,404-622-6306,404-622-6304,157,8-4:30 M-F,Yes,15,Wood pallets,Wood,"Collector, Processor",,Pallet Logistic and Service Corp.,DeKalb,,-84.34811,33.692829
Ira Levy,,TRUE,2015,Processor,Document destruction company. Offers collection for most types of paper and some plastics.,www.paperrecoveryofgeorgia.com,info@paperrecoveryofgeorgia.com,706-291-1221,706-291-2988,158,8-5 M-F,Yes,30,"Cardboard, paper, books, coated sections and corrugated, colored and computer ledger, fly leaf shavings, white ledger, office paper, mixed paper, newspaper, plastics, printers mix, pulp substitutes, specialty grades and roll stock, bakery waste",Single-stream,"Collector, Processor, Broker",,"Paper Recovery of Georgia, Inc.",Floyd,,-85.1684758,34.2431921
Cynthia Poselenzny,,FALSE,2015,Processor,"Sells recycled concrete aggregate, mulch, top soil and compost. Co-mingled material not accepted. Roll-off containers available within metro Atlanta. Call for list of currently accepted materials.",www.wastegrinding.com,,404-505-1450,404-505-1449,159,7-5 M-F,Yes,24,"Construction and demolition debris, clean unpainted wood, yard trimmings, concrete, asphalt, granite, marble, bricks, block, metal, non-painted gypsum board, ceiling tile (call for requirements)",C&D,"Collector, Processor",,"Patterson Services, Inc.",Cobb,,-84.4932416,33.8118145
Joyce Pirkle,,FALSE,2015,Processor,Provides pick up for industrial accounts only. Call for details. Accepts walk-ins.,www.pirkleinc.com,info@pirkleinc.com,404-525-5303,404-525-1464,160,"8-4 M-F, 8-3 Sa",Yes,45,"Ferrous and non-ferrous metals, including copper, brass, aluminum, stainless and appliances",Metal,"Collector, Processor",,"Pirkle, Inc.",Fulton,,-84.406764,33.738936
Chas Yancey,,TRUE,2015,Processor,Processes all consumer electronics. Provides secure data wiping and hard drive shredding and processing.,www.plasmet.com,info@plasmet.com,,770-547-6014,162,8-5 M-F,Yes,25,"Computers, servers, printers, consumer electronics of all type",Electronics,"Collector, Processor",,PlasMet e-Solutions,Dekalb,,-84.33225,33.6858
Ron Mitchell,,FALSE,2015,Processor,"Purchases post-industrial, post-use, and post-consumer scrap plastic in minimum 10,000-lb. loads.",www.polymark.com,sales@polymark.com,770-951-2474,770-952-1147,163,9-5 M-F,Yes,5,"PET, HDPE, film plastic, PP, PS, PVC, all thermoplastics",Plastic,Broker,,"Polymer Marketing, Inc.",Cobb,,-84.4744653,33.9283417
Tim Mitchell,,FALSE,2015,Processor,Full service post-industrial plastic recycler. Accepts a wide range of commodity-grade or engineering-grade plastics. Offers programs to recycle truck-load quantities of plastics on a recurring basis. Spot materials considered on a case-by-case basis.,www.polymersciences.com,tim@polymersciences.com,404-346-0699,770-715-5286,164,24 hours,Yes,30-40 ,"Polyethylene (PE), polypropylene (PP), and polystyrene (PS) materials, including expanded polystyrene (EPS), also referred to as Dow-Styrofoam",Plastic,"Collector, Processor, Broker",,"Polymer Sciences, Inc.",Fulton,,-84.575435,33.73462
,TRUE,,2015,Processor,,www.prattindustries.com,,,678-210-5566,165,,,,"Mixed paper, cardboard, newspaper, magazines, catalogs, office paper, books, mail, LDPE film, PET and steel banding, pallets, #1-7 plastic containers, other plastic, aluminum cans, steel cans, glass",Single-stream,,,"Pratt Recycling, Inc.",Rockdale,,-84.985853,33.661144
,,FALSE,2015,Processor,MRF accepts single-stream and source-separated materials. Accepts clean loads of OCC and mixed paper.,www.prattindustries.com,,,706-526-1020,166,9-5 M-F,Yes,,"Mixed paper, cardboard, office paper, newspaper, telephone books, magazines, other paper, PET, HDPE, PP, PVC, PS, film plastic, clear glass, brown glass, green glass, steel cans, aluminum cans",Single-stream,"Collector, Processor, Broker",,"Pratt Recycling, Inc.",Muscogee,,-84.9877094,32.4609764
,,FALSE,2015,Processor,Accepts all bulk fiber grades.,www.prattindustries.com,,912-233-9151,912-233-9149,168,7-5 M-F,Yes,16,Paper,Paper,"Collector, Processor, Broker",,"Pratt Recycling, Inc.",Chatham,,-81.145818,32.0474279
Kevin Bailey,TRUE,FALSE,2015,Processor,MRF accepts single-stream and source-separated materials. Accepts clean loads of OCC and mixed paper.,www.prattindustries.com,kbailey@prattindustries.com,404-768-7069,404-768-0957,169,6-4 M-F,Yes,30,"Mixed paper, cardboard, office paper, newspaper, telephone books, magazines, other paper, PET, HDPE, PP, PVC, PS, film plastic, clear glass, brown glass, green glass, steel cans, aluminum cans",Single-stream,"Collector, Processor, Broker",060-085P(RM),"Pratt Recycling, Inc.",Fulton,,-84.42785,33.692229
Glen Crowe,,FALSE,2015,Processor,Accepts all ferrous and non-ferrous metals.,www.pscmetals.com,gcrowe@pscmetals.com,770-774-9097,770-774-9099,170,"8-4:30 M-F, 8-4 Sa",Yes,,"Non-ferrous metals, ferrous metals, radiators, aluminum cans, steel cans, copper, aluminum sheet, wheels, cast aluminum",Metal,"Collector, Processor",,"PSC Metals, Inc.",Fulton,,-84.550615,33.558295
,FALSE,FALSE,2015,Processor,Accepts salvage/junk vehicles. ,www.pullapart.com,,,770-242-8844,171,8-6 M-Su,Yes,,Autos,Metal,"Collector, Processor",,Pull-A-Part,DeKalb,,-84.123045,33.733888
,FALSE,FALSE,2015,Processor,Accepts salvage/junk vehicles. ,www.pullapart.com,,,770-242-8844,172,8-6 M-Su,Yes,,Autos,Metal,"Collector, Processor",,Pull-A-Part,Gwinnett,,-84.173752,33.966322
,FALSE,FALSE,2015,Processor,Accepts salvage/junk vehicles. ,www.pullapart.com,,,706-432-0600,174,8-6 M-Su,Yes,,Autos,Metal,"Collector, Processor",,Pull-A-Part,Richmond,,-84.941247,33.464989
,,FALSE,2015,Processor,,www.libertytire.com,,770-775-7442,770-775-3304,175,8-4 M-F,Yes,35,Scrap tires,Scrap Tires,"Collector, Processor",,"Quality Tire Recycling, Inc. (subsidiary of Liberty Tire)",Butts,,-83.9540248,33.3007296
,,,2015,Processor,,,,,229-723-6826,230,,,,Scrap tires,Scrap Tires,,,Tillman's Scrap Tire Co.,Early,,-84.966385,31.457802
Bob Rust,,FALSE,2015,Processor,"Repairs and distributes equipment to Georgians with disabilities, active seniors and the less fortunate. Accepts all computer equipment, cell phones, PDAs and phone systems. Contact first; fees may apply. Pick up available for large quantities.",www.touchthefuture.us,,770-934-8433,770-934-8432,176,10-4 M-W,Yes,4,"Computer equipment, cell phones, networking equipment",Electronics,"Collector, Processor",,"Reboot (Touch the Future, Inc.)",DeKalb,,-84.262294,33.8222
,,TRUE,2015,Processor,Confidential document destruction.,www.recall.com,,,770-776-1000,177,8-8 M-F,Yes,,"Paper, other paper, office paper",Paper,"Collector, Processor",,Recall,Gwinnett,,-84.220341,33.9611189
,,FALSE,2015,Processor,Produces tire chips.,www.recoveredmaterials.net,,,912-632-4751,178,8-5 M-F,Yes,15,Scrap tires,Scrap Tires,"Collector, Processor",,"Recovered Materials, Inc.",Bacon,,-82.5229024,31.5287615
,,FALSE,2015,Processor,"Minimum quantities required. Call for details. No drop-offs. Provides silver recovery services for film and processing solutions for various organizations  such as hospitals, photo processors, and printers.",www.safety-kleen.com,alvin.gillies@safety-kleen.com,,478-788-9398,194,8-5 M-F,Yes,7,"Oil filters, motor oil, fluorescent lamps, solvents, paint products, dry cleaning products, waste water ",Other,"Collector, Processor",,"Safety-Kleen Systems, Inc.",Bibb,,-83.65367,32.727853
,,FALSE,2015,Processor,Accepts most types of plastics. Industrial scrap only; no post-consumer.,www.recycledmaterialsinc.com,donaldw@recycledmaterials.com,404-753-7716,404-753-7711,179,8:30-4:30 M-F,Yes,35,"ABS trim scrap from sheet, injection scrap; acrylic sign scrap, trim scrap from thermoforming; automobile bumpers (plastic only); general purpose polystyrene; HDPE bottles, sheet, crates, parts, and purge; HDPE-HMW barrels, syrup containers; HIPS trim scrap with or without print; LDPE film scrap, bubble wrap; PET bottles, strapping, sheet, film, and purge; polycarbonate sign scrap; polyethylene foam (PE foam); polyurethane foam; PP bottles, containers, sheet, and purge; stretch film baled; TPO automotive with or without paint",Plastic,"Collector, Processor",,"Recycled Materials, Inc.",Fulton,,-84.571948,33.744287
,,FALSE,2015,Processor,Container services and pick up available. Call for details.,www.recyclersrresources.com,,770-437-9272,770-434-8799,180,"12-6 Tu-Th, 12-4 F",Yes,,"Aluminum, brass, copper, radiators, scrap steel, appliances, stainless metals, transmissions ",Metal,"Collector, Processor",,Recyclers Resources,Cobb,,-84.588118,33.880505
Brad Loyd,,TRUE,2015,Processor,Accepts most types of electronics equipment from businesses and industry. Charges fee for TVs.,www.regencytechnologies.com,bradlloyd@regencytechnologies.com,404-349-0703,678-733-0212,181,7-3:30 M-F,Yes,135,"Computer and electronics equipment, appliances, TVs",Electronics,"Collector, Processor",,Regency Technologies,Cobb,,-84.6438,33.809569
,TRUE,,2015,Processor,,,,,,219,,,,,Single-stream,,092-024P(MRF),Southern Roll-Off and Recycling,Lowndes,,-83.23245,30.77464167
Bud Stumbaugh,,FALSE,2015,Processor,"Refurbishes automotive bumpers, front and rear. Bumpers damaged beyond repair are sent for regrinding and recycling.",www.rbxonline.com,,770-754-1021,770-754-1040,182,8-5 M-F,Yes,15,Plastic automotive bumpers,Plastic,"Collector, Processor",,Remanufactured Bumper Exchange,Fulton,,-84.238083,34.111318
Ashley D. Parker,,FALSE,2015,Processor,"Collects most curbside materials from multi-family units, schools, small businesses and corporate offices.",www.remixatlanta.com,info@remixatlanta.com,404-920-3470,404-663-0413,183,8-4 M-F,Yes,,"Metals, steel cans, aluminum cans, paper, newspaper, cardboard, mixed paper, magazines, office paper, other paper, glass, PET, HDPE, film plastic, PP, phone books, white goods, e-scrap",Single-stream,Collector,,ReMix Recycling,Fulton,,-84.405099,33.76593
Steven LaVance,,FALSE,2015,Processor,Buys and refurbishes computers and printers from businesses only. Call first for details.,www.renewcomputer.com,esales@renewcomputer.com,770-925-7318,770-925-7315,184,10-7 M-F,Yes,,"Computer equipment, printers",Electronics,"Collector, Processor, Broker",,RENEW Computer,Gwinnett,,-84.192554,33.96223
Mike Herzog,,FALSE,2015,Processor,Accepts non-hazardous materials only.,www.rev-al.com,,404-745-0253,877-762-5488,185,8-6 M-F,Yes,,Used oil and oil-absorbent materials,Other,"Collector, Processor",,Revolutions Environmental,DeKalb,,-84.251302,33.802522
Mike Daniels,,TRUE,2015,Processor,"Processes computer and electronic equipment,  residential and commercial HVAC equipment.    Microsoft-registered refurbisher. Accepts small quantities from individuals. Offers pick up for medium to large loads. Accepts dropoffs.",www.reworxrecycling.org,mike@recycletronics.com,678-354-7002,770-426-1700,186,7-3:30 M-F,Yes,60,"PCs (desktops, laptops, tablets) smart phones, gaming systems and components, cell phones, DISH/DirecTV boxes, telephones, microwaves, stereos, copiers, printers, VCR and DVD players, remote controls, MP3 players, disk drives, camcorders, floppy drives, speakers, cameras, modems, CD players, FAX machines",Electronics,"Collector, Processor",,Reworx,Cobb,,-84.611792,33.994563
John Robinson,,FALSE,2015,Processor,Container services available. Accepts dropoffs.,,,229-241-8231,229-242-4160,187,"8-5:30 M-F, 8-noon Sa",No,12,"Metals, ferrous metals, metal appliances, non-ferrous metals, aluminum cans, copper",Metal,"Collector, Processor",,Robinson Recycling,Lowndes,,-83.2517034,30.8189862
Gladys Sanford,,FALSE,2015,Processor,,,,,770-929-3908,188,8-5 M-F,Yes,,"Metals, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Rockdale Recycling and Metals,Rockdale,,-84.013093,33.644818
Jason Milford,,TRUE,2015,Processor,Accepts baled and loose in gaylords. Call for details.,,jmilfor2@rocktenn.com,706-722-6215,706-722-9603,189,8-5 M-F,Yes,15,"Aluminum cans, paper, cardboard, newspaper, magazines, office paper, mixed paper, PET, HDPE, PVC, film plastic, PP, PS, ABS, nylon",Single-stream,"Collector, Processor",,WestRock,Richmond,,-81.979338,33.475769
,,FALSE,2015,Processor,Drop off or call to arrange pick up for commercial and office accounts.,,,770-939-1520,770-939-1775,190,"8-3:30 M-Th, 7:30-3 F",Yes,15,"Office paper, cardboard, mixed paper, newspaper, magazines, paperboard, phone books, tubes and cores, hard white paper, double-line kraft (DLK), hardcover books, paperback books, aluminum, metal cans",Single-stream,Collector,,WestRock,DeKalb,,-84.2502791,33.8403424
Mike Jeffrey,,TRUE,2015,Processor,Accepts commercial and residential loads of single-stream recyclables.,www.rocktenn.com,,678-403-3939,678-403-3900,191,7-5 M-F,Yes,50,"Aluminum cans, paper, newspaper, cardboard, mixed paper, magazines, office paper, other paper, phone books",Single-stream,"Collector, Processor, Broker",,Rock-Tenn (Smurfit Stone Recycling),Cobb,,-84.5903367,33.8955185
Dennis Slade,,FALSE,2015,Processor,On-site grinding operation processes land-clearing debris and yard trimmings into mulch. Roll-off boxes available.,,,770-504-0844,770-914-7769,192,7:30-5 M-F,Yes,5,"Yard trimmings, land-clearing debris",Organics,"Collector, Processor",,"S&B Rolloff, Inc.",Henry,,-84.0581282,33.3206412
,TRUE,,2015,Processor,,,,,706-277-2545,252,,,,"Carpet; carpet padding; tubes, cores and cones from carpet industry; #1 and #2 plastics; office paper; newspaper; magazines; cardboard; phone books; aluminum cans; glass ",Single-stream,,155-049P(RM),Whitfield County - Old Dixie Hwy. MRF,Whitfield,,-84.95852222,34.65607778
Mac Hail,,FALSE,2015,Processor,"Minimum quantities required. Call for details. No drop-offs. Provides silver recovery services for film and processing solutions for various organizations  such as hospitals, photo processors, and printers.",www.safety-kleen.com,james.haile@safety-kleen.com,912-964-5118,912-964-7040,193,8-5 M-F,Yes,6,"Motor oil, alkaline batteries, flammable liquids, industrial chemicals and solvents, petroleum products  ",Other,"Collector, Processor",,"Safety-Kleen Systems, Inc.",Chatham,,-81.1659298,32.1167496
Olen Arnold,,FALSE,2015,Processor,"Minimum quantities required. Call for details. No drop-offs. Provides silver recovery services for film and processing solutions for various organizations  such as hospitals, photo processors, and printers.",www.safety-kleen.com,,770-960-0072,770-960-1275,195,8-5 M-F,Yes,20,"Motor oil, alkaline batteries, flammable liquids, industrial chemicals and solvents, petroleum products",Other,"Collector, Processor",,"Safety-Kleen Systems, Inc.",Clayton,,-84.342454,33.562689
Gary Bonds,,FALSE,2015,Processor,"Minimum quantities required. Call for details. No drop-offs. Provides silver recovery services for film and processing solutions for various organizations  such as hospitals, photo processors, and printers.",www.safety-kleen.com,,770-840-9791,770-662-5151,196,7-5 M-F,Yes,20,"Oil filters, motor oil, fluorescent lamps, solvents, paint products, dry cleaning products, waste water ",Other,"Collector, Processor",,"Safety-Kleen Systems, Inc.",Gwinnett,,-84.1869523,33.9669117
David Lightsy,,FALSE,2015,Processor,Customers must receive an authorization number before sending batteries. Call for details.  Will accept small amounts of lead and alkaline batteries for disposal.,www.saftbatteries.com,,229-245-2928,229-245-2918,197,7-3:30 M-F,No,3,"Batteries and rechargeable batteries: nickel cadmium, nickel iron, nickel-metal hydride, lithium ion and zinc depolarized batteries",Other,Collector,,SAFT America,Lowndes,,-83.2784851,30.8327022
Randy Hatfield,,FALSE,2015,Processor,Accepts post-industrial scrap plastic and paper.,www.sbcrecycling.com,randy.hatfield@sbcrecycling.com,770-439-7604,770-439-0112,198,7:30-4 M-F,Yes,10,"PET, HDPE, LLDPE, film plastic, PP, PS, PVC, ABS, PC/ABS, nylon and acetyl, paper",Plastic,"Collector, Processor, Broker",,SBC Recycling,Cobb,,-84.683824,33.8595491
Chip Koplin,,TRUE,2015,Processor,Offers pick up for industrial accounts only.,www.schnitzersteel.com,,229-438-8638,229-432-6255,199,"7:30-4:30 M-F, 7:30-noon Sa",Yes,,"Ferrous metals, non-ferrous metals",Metal,"Collector, Processor",,Schnitzer Southeast,Dougherty,,-84.118905,31.5692883
Chip Koplin,,TRUE,2015,Processor,Restrictions may apply to acceptance of appliances and autos. Pick up available for large accounts only. Call for details.,www.schnitzersteel.com,,404-332-1719,404-332-1750,200,"8-4 M-F, 8-noon Sa",Yes,,Ferrous metals,Metal,"Collector, Processor",,Schnitzer Southeast,Fulton,,-84.3960021,33.72975
Chip Koplin,,FALSE,2015,Processor,,www.schnitzersteel.com,,404-622-8738,404-622-1086,201,"8-4:15 M-F, 8-11:30 Sa",Yes,,Non-ferrous metals,Metal,"Collector, Processor",,Schnitzer Southeast,Fulton,,-84.379535,33.713304
Chip Koplin,,FALSE,2015,Processor,,www.schnitzersteel.com,,229-246-2732,229-246-2556,202,"7-4:30 M-F, 7:30-noon Sa",Yes,,"Ferrous metals, non-ferrous metals",Metal,"Collector, Processor",,Schnitzer Southeast,Decatur,,-84.5897206,30.9156868
Chip Koplin,,TRUE,2015,Processor,Special pricing for small dealers. Pick up available for industrial accounts.,www.schnitzersteel.com,,770-386-8717,770-386-5653,203,"8-4:30 M-F, 8-noon Sa",Yes,,"Ferrous metals, non-ferrous metals",Metal,"Collector, Processor",,Schnitzer Southeast,Bartow,,-84.795699,34.230609
Chip Koplin,,FALSE,2015,Processor,,www.schnitzersteel.com,,770-503-9516,770-534-4889,205,"8-4 M-F, 8-noon Sa",Yes,,"Ferrous metals, non-ferrous metals",Metal,"Collector, Processor",,Schnitzer Southeast,Hall,,-83.8048835,34.2565369
Chip Koplin,,FALSE,2015,Processor,,www.schnitzersteel.com,,706-820-9831,706-820-9816,206,"8-4 M-F, 8-11:30 Sa",Yes,,Non-ferrous metals,Metal,"Collector, Processor",,Schnitzer Southeast,Walker,,-85.3217044,34.9807224
Chip Koplin,,TRUE,2015,Processor,Sort municipal curbside single-stream materials. Glass must be color-separated.,www.schnitzersteel.com,,478-745-7157,478-743-6773,207,"8-4 M-F, 8-noon Sa",Yes,,"Radiators, motors, aluminum, copper, insulated copper, brass, prepared scrap iron, lead, stainless steel, paper, aluminum-copper cores, glass",Other,"Collector, Processor",,Schnitzer Southeast - Macon Iron,Bibb,,-83.632964,32.817603
Chip Koplin,,TRUE,2015,Processor,Sort municipal curbside single-stream materials. Glass must be color-separated.,www.schnitzersteel.com,,478-743-9965,478-743-6773,208,"8-4 M-F, 8-noon Sa",Yes,,"Unprepared (long) scrap iron, light sheet iron (tin), appliances (no refrigerant), large oversized scrap, whole autos (call for details), very large loads of stainless steel and aluminum-copper cores",Metal,"Collector, Processor",,Schnitzer Southeast - Macon Iron,Bibb,,-83.607013,32.823699
,,TRUE,2015,Processor,Does not accept all types of glass. Call for details.,www.selfrecycling.com,,770-382-0164,866-318-5876,209,"8-4:30 M-F, 8-11:30 Sa",Yes,35-40,"Steel scrap - structural steel, sheet rolls, coils, cast iron, punching, oversized equipment; metals - aluminum, copper, brass, stainless steel, special alloys; paper - cardboard, newspaper, mixed office paper; plastics",Single-stream,"Collector, Processor",,Self Recycling,Bartow,,-84.8099577,34.1744849
,,TRUE,2015,Processor,Does not accept all types of glass. Call for details.,www.selfrecycling.com,,706-277-0022,866-318-5876,210,"8-4:30 M-F, 8-11:30 Sa",Yes,,"Steel scrap - structural steel, sheet rolls, coils, cast iron, punching, oversized equipment; metals - aluminum, copper, brass, stainless steel, special alloys; paper - cardboard, newspaper, mixed office paper; plastics",Single-stream,"Collector, Processor",,Self Recycling,Whitfield,,-84.96494,34.789537
,,TRUE,2015,Processor,Does not accept all types of glass. Call for details.,www.selfrecycling.com,,770-382-0164,866-318-5876,211,"8-4:30 M-F, 8-11:30 Sa",Yes,,"Steel scrap - structural steel, sheet rolls, coils, cast iron, punching, oversized equipment; metals - aluminum, copper, brass, stainless steel, special alloys; paper - cardboard, newspaper, mixed office paper; plastics",Single-stream,"Collector, Processor",,Self Recycling,Pickens,,-84.470229,34.487555
Joy Ellington,,FALSE,2015,Processor,"Shreds office paper, colored paper, transparencies, carbon paper and electronic data storage devices including microfilm, CDs/DVDs, video and audio cassettes, plastic credit and ID cards, stock overruns, uniforms and defective merchandise.",www.shredit.com,atlanta@shredit.com,770-270-6920,770-270-6910,212,8:30-5:30 M-F,Yes,,"Paper, office paper, other paper",Paper,"Collector, Processor",,Shred-It,DeKalb,,-84.178812,33.857998
David Jones,,FALSE,2015,Processor,Accepts large loads of most grades of plastics. Call for details.,www.sonoco.com,david.jones6@sonoco.com,706-738-5425,706-733-7757,214,7:45-3:30 M-F,Yes,9,"Paper, newspaper, cardboard, mixed paper, magazines, other paper, office paper, PET, HDPE, aluminum cans",Single-stream,"Collector, Processor",,Sonoco Recycling,Richmond,,-81.998951,33.461528
John DeLoach,,TRUE,2015,Processor,,www.sonoco.com,,912-233-0355,912-232-4413,215,7:30-4:30 M-F,Yes,20,"Paper, newspaper, cardboard, mixed paper, magazines, other paper, office paper",Paper,"Collector, Processor",,Sonoco Recycling,Chatham,,-81.1249799,32.075885
Richard Hall,,FALSE,2015,Processor,"Accepts materials from individuals for a fee. Materials are sent to Johnson City, TN for processing.",www.recyclebulbs.com,srtrichard@bellsouth.net,770-426-4441,770-426-5000,216,9-5 M-F,Yes,3,"Computer equipment, fluorescent lamps, electronics, mercury-containing items, batteries, ballasts, automotive airbags",Electronics,Collector,,Southeast Recycling Technologies,Cobb,,-84.617238,34.033356
H.D. Wiley,,FALSE,2015,Processor,Offers 8-yard container service for cardboard. Provides pick up in special cases. Only accepts name-brand plastic bottles and clear plastic milk jugs.,,,229-888-1714,229-888-1713,217,8:30-5 M-Sa,No,12,"Non-ferrous metals, aluminum cans, paper, newspaper, other paper, PET, HDPE-clear, office paper, cardboard",Single-stream,"Collector, Processor",,"Southeastern Aluminum Recycling, Inc.",Dougherty,,-84.1412129,31.577069
John Reddien,,FALSE,2015,Processor,Accepts all electronic hardware from corporations. Call for details.,www.southernrefurb.com,john@southernrefurb.com,888-327-3459,404-456-9830,218,9-5 M-F,Yes,2,"Cell phones, desktop PCs, telephone equipment, mainframes, printers, laptops",Electronics,"Collector, Processor",,Southern Refurb,Fulton,,-84.221054,34.129548
LuAnn Chambers,,FALSE,2015,Processor,"Buyback center and drop-off location. Hauler's drop site for Forest Park single-stream processing facility. Offers pick up for schools, churches and large-volume generators. Call for scale hours.",www.spnewsprint.com,515division@spfibertech.com,770-339-8179,770-995-0014,220,7-2 M-F,Yes,15,"Newspaper, cardboard, magazines, telephone books, mixed paper, office paper, #1-7 plastic bottles, aluminum and steel cans, commercial grade plastic, miscellaneous plastic",Single-stream,"Collector, Processor, Broker",,WestRock,Gwinnett,,-83.9957064,33.9628895
Elliot Hammer,,FALSE,2015,Processor,Offers pick up for industrial accounts only. Call for details. ,www.starmetalatlanta.com,,404-872-6381,404-876-7410,221,"8-4:30 M-F, 9-noon Sa",Yes,8,"Metals, ferrous metals, metal appliances, non-ferrous metals, aluminum cans, copper, brass",Metal,"Collector, Processor",,Star Iron & Metal Co.,Fulton,,-84.411153,33.783377
Myron Easley,TRUE,FALSE,2015,Processor,MRF,www.stephensmds.com,info@stephensmds.com,770-909-7990,770-909-8600,222,"7-5 M-F, 7-1 Sa",No,35-50,"C&D materials from construction and demolition sites: dirt/soil, rock, concrete, concrete block, cured asphalt pavement",C&D,"Collector, Processor",031-039D(C&D),Stephens Industries,Fulton,,-84.4108901,33.6095029
Hazel Mobley,,TRUE,2015,Processor,Pays for glass bottles separated by color; charges for 3-mix.,www.strategicmaterials.com,atlantaplant@strategicmaterials.com,404-761-1340,404-761-1340,223,8-4 M-F,Yes,50,"Glass, all glass containers, float and window scrap, IG units",Glass,"Collector, Processor",,"Strategic Materials, Inc.",Fulton,,-84.489213,33.620909
Larry Maletta,,FALSE,2015,Processor,Public drop-off for EPS. Does not accept food-service trays or egg cartons. Offers pick up of large loads within eight miles; see website for details.,www.styrocyclers.com,lm2@styrocyclers.com,678-594-0949,678-594-0941,224,"8-4 M-F, Saturday by appointment only",Yes,6,EPS,Plastic,"Collector, Broker",,Styrocyclers,Cobb,,-84.5274,33.971399
Matt Barnes,,FALSE,2015,Processor,Pallets are repaired and reused; unusable wood waste is ground into mulch. Pick up available in general area.,www.hoodpallet.com,mike@hoodpallet.com,,478-956-4039,225,8-5 M-F,Yes ,30,"Wood pallets, mulch",Wood,"Collector, Processor, End User",,"Taylor Pallet Supply, Inc.",Peach,,-83.7480582,32.6065787
Theo Furber,,FALSE,2015,Processor,Provides data destruction and hard drive shredding. Pick up available for large quantities. Call for details.,www.tbfcomputing.com,theo@tbfcomputing.com,770-578-3737,770-977-2925,226,9-5 M-F,Yes,25,"Appliances, amplifiers, barcode scanners, batteries, cables, cases, cameras, carom drives, cell phones, computers, copiers, crate monitors, digital cameras, DVD players, FAX machines, floppy drives, game systems, hard drives, keyboards, laptops, LCD monitors and TVs, memory, mice, network equipment, pads, plasma TVs, POS equipment, power supplies, printers, routers, scanners, servers, speakers, stereo equipment, switches, UPS, wireless equipment, video equipment, video game equipment",Electronics,"Collector, Processor, Broker",,"TBF Computing, Inc.",Cobb,,-84.5032907,33.9546718
